ID,W,G,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,BBHBP,SF,Outs,Outsinplay,RA,BA,OBA,SLG,OPS
1,60,162,558,5336,1280,891,247,31,111,460,840,144,80,0,460,0,4056,3216,740,0.23988006,0.300207039,0.360194903,0.660401942
3,86,161,677,5620,1492,1147,216,46,83,531,752,172,62,0,531,0,4128,3376,643,0.265480427,0.328889611,0.364590747,0.693480359
5,79,162,679,5550,1496,1088,262,63,83,543,879,207,89,0,543,0,4054,3175,710,0.26954955,0.334646315,0.384324324,0.71897064
7,96,162,780,5536,1458,990,265,40,163,561,933,129,39,0,561,0,4078,3145,682,0.263367052,0.331146465,0.414017341,0.745163807
9,96,162,688,5441,1354,905,247,21,181,542,1384,64,31,55,597,35,4087,2703,548,0.248851314,0.321258027,0.401764382,0.723022409
11,95,162,783,5497,1465,932,300,35,198,616,961,74,21,65,681,52,4032,3071,616,0.266509005,0.344462279,0.441877388,0.786339667
13,83,162,861,5677,1562,969,328,21,244,526,1026,89,34,60,586,34,4115,3089,908,0.275145323,0.341114817,0.469261934,0.810376751
15,75,163,761,5643,1498,1114,222,39,123,600,815,126,77,0,600,0,4145,3330,766,0.265461634,0.336056383,0.384015595,0.720071978
17,71,162,642,5546,1381,1000,218,29,134,476,979,51,47,0,476,0,4165,3186,717,0.249008294,0.308369313,0.371258565,0.679627877
19,61,162,679,5503,1386,966,239,28,153,443,1046,92,41,0,443,0,4117,3071,772,0.25186262,0.307601749,0.388878793,0.696480542
21,92,162,789,5592,1530,1038,283,53,156,508,831,93,53,0,508,0,4062,3231,679,0.27360515,0.334098361,0.4268598,0.76095816
23,79,162,687,5369,1324,946,206,30,142,619,990,140,78,0,619,0,4045,3055,697,0.246600857,0.324482298,0.375488918,0.699971216
25,83,162,670,5450,1353,969,227,44,113,550,1023,121,78,0,550,0,4097,3074,626,0.248256881,0.317166667,0.368256881,0.685423547
27,100,162,805,5585,1523,1080,258,29,156,587,766,111,38,0,587,0,4062,3296,640,0.272694718,0.341866494,0.413070725,0.754937219
29,76,162,752,5560,1413,940,279,37,157,602,1177,131,53,46,648,43,4147,2970,815,0.254136691,0.329707247,0.402338129,0.732045376
31,83,162,666,5517,1469,1066,249,38,116,452,760,209,102,0,452,0,4048,3288,646,0.266267899,0.321829452,0.388254486,0.710083938
33,71,162,723,5602,1521,1025,283,45,168,384,1038,66,28,53,437,52,4081,3043,787,0.271510175,0.321457889,0.428061407,0.749519295
35,68,162,718,5559,1473,943,320,47,163,438,939,70,51,0,438,0,4086,3147,853,0.264975715,0.31865933,0.427415003,0.746074332
37,95,162,733,5388,1395,927,288,42,138,582,914,137,52,0,582,0,3993,3079,619,0.258908686,0.331155779,0.404788419,0.735944198
39,81,162,707,5473,1415,1022,235,32,126,455,791,165,62,0,455,0,4058,3267,679,0.258541933,0.315452092,0.382240088,0.697692179
41,89,162,705,5485,1423,996,243,36,148,647,827,89,48,0,647,0,4062,3235,656,0.259434822,0.337573386,0.397812215,0.735385601
43,100,144,840,5028,1461,952,279,23,207,542,766,132,53,0,542,0,3567,2801,607,0.290572792,0.359605027,0.478719173,0.8383242
45,75,162,667,5477,1343,917,238,47,141,527,1095,122,51,0,527,0,4134,3039,673,0.24520723,0.311459027,0.383056418,0.694515445
47,67,162,680,5573,1445,976,292,38,139,471,1092,73,30,72,543,49,4128,3036,769,0.259285842,0.322465531,0.400143549,0.72260908
49,81,162,632,5482,1353,956,267,30,100,572,958,160,70,0,572,0,4129,3171,630,0.246807734,0.317971589,0.36118205,0.679153639
51,87,162,673,5499,1393,1017,213,30,133,607,915,130,56,0,607,0,4106,3191,687,0.253318785,0.327546675,0.375522822,0.703069498
53,98,162,812,5584,1498,1016,264,22,196,586,952,63,26,0,586,0,4086,3134,681,0.268266476,0.337763371,0.428724928,0.7664883
55,69,162,748,5615,1516,1026,325,49,116,556,1021,90,45,35,591,51,4099,3078,880,0.269991095,0.336742848,0.40730187,0.744044718
57,51,162,610,5457,1307,877,266,16,148,426,1535,110,61,52,478,38,4150,2615,848,0.239508888,0.298844802,0.375481034,0.674325835
59,76,162,651,5422,1339,903,272,43,121,539,1238,155,46,54,593,34,4083,2845,710,0.246956842,0.319391635,0.379933604,0.699325239
61,97,162,809,5714,1633,1193,266,59,115,508,709,185,43,0,508,0,4081,3372,694,0.285789289,0.344101575,0.413370669,0.757472244
63,70,161,714,5483,1416,947,278,46,145,469,944,132,42,55,524,56,4067,3123,842,0.258252781,0.31997361,0.405070217,0.725043827
65,88,162,726,5476,1467,986,279,39,163,511,1103,59,23,57,568,39,4009,2906,670,0.267896275,0.334538879,0.422388605,0.756927484
67,79,162,901,5728,1619,1014,376,35,194,595,1207,81,25,63,658,54,4109,2902,967,0.282646648,0.353571429,0.462115922,0.81568735
69,53,115,547,3978,1045,687,238,21,99,417,680,59,37,0,417,0,2933,2253,586,0.262694822,0.332650739,0.407742584,0.740393324
71,80,162,702,5475,1390,922,248,51,169,587,1109,111,49,0,587,0,4085,2976,749,0.253881279,0.32612999,0.410410959,0.736540949
73,79,162,859,5572,1499,971,263,21,244,610,1095,130,45,0,610,0,4073,2978,905,0.26902369,0.341151731,0.455132807,0.796284538
75,72,162,693,5441,1341,882,249,20,190,532,1149,78,45,52,584,35,4100,2951,839,0.246462047,0.317656766,0.404337438,0.721994204
77,87,162,772,5572,1493,1013,296,25,159,568,1226,75,35,63,631,39,4079,2853,766,0.267946877,0.340275553,0.415649677,0.75592523
79,90,162,875,5710,1600,1010,352,35,203,578,1108,102,42,50,628,50,4110,3002,737,0.280210158,0.348778961,0.460770578,0.809549538
81,96,162,891,5710,1636,1127,325,23,161,676,954,99,58,0,676,0,4074,3120,688,0.286514886,0.362041967,0.436077058,0.798119025
83,84,162,749,5503,1441,951,291,32,167,589,1120,71,27,59,648,37,4062,2942,695,0.261857169,0.337588882,0.417408686,0.754997568
85,90,162,660,5460,1418,994,281,44,99,563,888,125,65,0,563,0,4042,3154,609,0.25970696,0.328905861,0.381684982,0.710590843
87,75,162,816,5555,1460,947,298,36,179,503,1224,88,25,56,559,42,4095,2871,844,0.262826283,0.32797271,0.42610261,0.75407532
89,101,162,791,5528,1490,1011,268,37,174,597,1160,108,58,0,597,0,4038,2878,581,0.269536903,0.340734694,0.425832127,0.766566821
91,78,161,637,5508,1401,986,255,50,110,537,1016,193,95,0,537,0,4107,3091,688,0.254357298,0.320595533,0.378721859,0.699317393
93,66,160,669,5422,1389,1015,220,28,126,490,818,98,50,0,490,0,4033,3215,763,0.256178532,0.317828146,0.376798229,0.694626376
95,87,162,758,5661,1560,1123,275,32,130,534,673,62,38,0,534,0,4101,3428,679,0.275569687,0.338014528,0.404345522,0.74236005
97,86,162,735,5539,1459,990,300,20,149,602,1064,58,26,52,654,47,4080,3016,641,0.263404947,0.338621795,0.405488355,0.74411015
99,70,160,680,5499,1409,969,258,27,155,508,966,132,62,0,508,0,4090,3124,781,0.256228405,0.319127684,0.397526823,0.716654507
101,46,103,407,3576,920,659,176,30,55,278,494,122,52,0,278,0,2656,2162,425,0.257270694,0.310845874,0.369407159,0.680253033
103,73,162,735,5544,1429,952,274,40,163,555,1201,118,42,57,612,44,4115,2914,774,0.257756133,0.329193548,0.40981241,0.739005958
105,79,162,735,5612,1438,972,264,19,183,535,1250,97,50,63,598,40,4174,2924,720,0.256236636,0.32576,0.40787598,0.73363598
107,96,162,855,5659,1599,1047,310,32,210,475,930,143,45,39,514,49,4060,3130,677,0.282558756,0.339601414,0.459975261,0.799576675
109,85,162,574,5458,1328,919,260,25,124,407,985,80,36,72,479,28,4130,3145,556,0.243312569,0.30293378,0.368266764,0.671200545
111,66,162,602,5498,1307,820,297,18,172,439,1230,63,32,67,506,30,4191,2961,689,0.237722808,0.300464037,0.392142597,0.692606634
113,86,162,791,5543,1448,930,325,27,166,651,1155,72,29,55,706,38,4095,2940,697,0.261230381,0.342611739,0.419447952,0.762059691
115,79,162,629,5472,1306,887,275,19,125,516,1264,101,34,54,570,44,4166,2902,618,0.238669591,0.308248439,0.364400585,0.672649024
117,71,161,634,5393,1423,1055,221,41,106,409,625,83,68,0,409,0,3970,3345,731,0.26386056,0.315753189,0.379009828,0.694763016
119,55,161,673,5604,1418,953,297,35,133,456,1115,102,45,58,514,36,4186,3071,918,0.253033547,0.313942151,0.389721627,0.703663779
121,74,162,707,5541,1439,1004,266,17,152,532,1039,81,59,0,532,0,4102,3063,812,0.259700415,0.324551293,0.396137881,0.720689174
123,88,162,752,5484,1467,1006,263,21,177,467,922,160,74,79,546,38,4017,3095,704,0.26750547,0.331740277,0.419948942,0.751689219
125,82,162,642,5459,1361,923,273,18,147,545,1062,66,48,65,610,35,4098,3036,713,0.249313061,0.322903014,0.386700861,0.709603875
127,80,163,861,5585,1516,989,291,38,198,551,916,127,46,0,551,0,4069,3153,931,0.271441361,0.336864407,0.4435094,0.780373807
129,77,162,793,5567,1480,1017,253,23,187,594,1030,167,68,0,594,0,4087,3057,787,0.265852344,0.336633663,0.420334112,0.756967775
131,67,161,634,5483,1358,896,295,32,135,540,1312,138,40,68,608,40,4125,2813,757,0.247674631,0.320665471,0.387014408,0.707679879
133,85,163,736,5470,1386,956,247,37,146,471,843,108,56,0,471,0,4084,3241,720,0.253382084,0.312573641,0.39213894,0.70471258
135,81,162,680,5530,1405,968,263,60,114,515,839,187,72,0,515,0,4125,3286,650,0.254068716,0.317617866,0.38517179,0.702789656
137,101,162,770,5528,1505,1091,259,45,110,542,793,127,70,0,542,0,4023,3230,557,0.272250362,0.33723229,0.395079595,0.732311885
139,64,162,587,5410,1319,974,227,30,88,529,887,98,81,0,529,0,4091,3204,663,0.243807763,0.311163496,0.345656192,0.656819688
141,67,143,673,4886,1278,891,214,29,144,517,916,131,53,0,517,0,3608,2692,673,0.261563651,0.332222839,0.405648792,0.737871632
143,89,163,845,5628,1540,1061,292,26,161,678,1040,102,51,0,678,0,4088,3048,739,0.273631841,0.351728513,0.420575693,0.772304205
145,69,163,650,5493,1395,982,271,35,107,393,1060,159,51,0,393,0,4098,3038,718,0.253959585,0.303771662,0.374476607,0.678248268
147,86,162,656,5436,1365,918,259,27,161,464,1192,88,28,40,504,39,4071,2879,626,0.251103753,0.312594079,0.397534952,0.710129031
149,81,162,738,5625,1521,1117,240,44,120,598,954,87,46,0,598,0,4104,3150,692,0.2704,0.340511008,0.392711111,0.733222119
151,97,159,730,5555,1496,1109,231,36,120,470,616,163,65,0,470,0,4059,3443,575,0.269306931,0.326307054,0.388658866,0.71496592
153,80,162,686,5496,1451,989,319,29,114,508,871,73,38,0,508,0,4045,3174,698,0.264010189,0.326282478,0.394832606,0.721115084
155,79,162,817,5565,1520,992,303,11,214,593,903,86,48,0,593,0,4045,3142,785,0.273135669,0.343130887,0.44690027,0.790031156
157,89,162,613,5364,1331,933,240,41,117,554,814,87,54,0,554,0,4033,3219,594,0.24813572,0.31851977,0.37360179,0.69212156
159,72,162,579,5364,1306,996,202,20,88,416,882,160,101,0,416,0,4058,3176,671,0.243475019,0.297923875,0.337807606,0.635731482
161,66,162,682,5650,1499,1132,229,26,112,528,980,126,76,0,528,0,4151,3171,807,0.265309735,0.328099709,0.374513274,0.702612983
163,96,162,768,5497,1398,881,317,24,176,556,898,48,14,59,615,53,4099,3201,643,0.254320538,0.326520681,0.416772785,0.743293466
165,66,162,613,5554,1440,1022,264,21,133,424,1056,76,34,54,478,45,4114,3058,785,0.259272596,0.315616258,0.386208138,0.701824396
167,88,162,759,5502,1468,1014,281,31,142,495,1089,149,58,0,495,0,4034,2945,706,0.266812068,0.327330332,0.406579426,0.733909757
169,69,161,747,5428,1401,941,284,24,152,641,834,135,68,0,641,0,4027,3193,829,0.258106116,0.336463997,0.403279293,0.73974329
171,77,163,639,5610,1429,1048,242,33,106,442,767,119,60,0,442,0,4181,3414,609,0.254723708,0.309153999,0.36631016,0.675464159
173,69,162,733,5525,1426,1036,240,25,125,555,932,138,93,0,555,0,4099,3167,792,0.258099548,0.325822368,0.378461538,0.704283907
175,75,162,713,5617,1482,1034,286,36,126,508,1080,97,45,0,508,0,4135,3055,808,0.263841908,0.324897959,0.394872708,0.719770667
177,85,162,748,5518,1409,941,228,29,211,461,1203,109,43,65,526,36,4109,2906,676,0.25534614,0.318256579,0.42189199,0.740148569
179,69,162,699,5507,1408,955,289,34,130,466,986,102,47,48,514,37,4099,3113,751,0.255674596,0.317266425,0.391320138,0.708586563
181,95,162,682,5502,1434,1051,226,28,129,539,846,136,58,0,539,0,4068,3222,579,0.260632497,0.326601556,0.382224646,0.708826202
183,95,161,807,5536,1552,1035,291,41,185,549,745,100,53,0,549,0,3984,3239,722,0.280346821,0.345275267,0.447976879,0.793252146
185,87,161,871,5556,1541,1017,294,25,205,631,1007,99,48,57,688,50,4015,3008,814,0.277357811,0.354146806,0.449964003,0.804110809
187,57,161,568,5436,1340,981,251,28,80,514,842,110,60,0,514,0,4096,3254,708,0.246504783,0.311596639,0.347130243,0.658726881
189,83,162,631,5594,1464,1064,262,44,94,495,996,208,118,0,495,0,4130,3134,604,0.261708974,0.321727706,0.374687165,0.696414871
191,84,162,883,5642,1580,1017,337,14,212,578,1077,119,48,0,578,0,4062,2985,862,0.280042538,0.346945338,0.457461893,0.804407231
193,94,162,718,5560,1476,1002,302,38,134,519,1246,138,50,61,580,43,4084,2838,617,0.265467626,0.332524664,0.405755396,0.73828006
195,85,162,669,5575,1411,962,284,23,142,504,1189,104,27,42,546,49,4164,2975,653,0.25309417,0.317179903,0.388699552,0.705879454
197,96,162,803,5570,1503,984,304,37,178,587,1158,86,32,59,646,48,4067,2909,668,0.26983842,0.34307152,0.433572711,0.776644231
199,78,162,760,5508,1499,1008,282,48,161,500,863,174,73,0,500,0,4009,3146,801,0.272149601,0.332723036,0.428467683,0.761190719
201,83,162,735,5479,1432,934,300,36,162,575,1104,118,64,46,621,42,4047,2943,718,0.261361562,0.334255943,0.417959482,0.752215424
203,67,162,639,5517,1425,999,255,46,125,443,862,85,67,0,443,0,4092,3230,765,0.25829255,0.313422819,0.389160776,0.702583595
205,71,162,746,5618,1515,1054,267,47,147,445,1069,97,48,0,445,0,4103,3034,779,0.269668921,0.323272307,0.41242435,0.735696658
207,96,162,773,5614,1514,1025,264,28,197,530,1032,83,43,0,530,0,4100,3068,648,0.269682936,0.332682292,0.431955825,0.764638116
209,68,161,782,5559,1486,962,322,30,172,533,990,81,37,42,575,48,4073,3083,869,0.267314265,0.333387253,0.42885411,0.762241364
211,71,162,684,5532,1376,882,289,20,185,512,1159,107,23,61,573,34,4156,2997,731,0.248734635,0.317478417,0.408532176,0.726010593
213,89,162,799,5606,1491,1007,274,38,172,619,1024,138,36,39,658,49,4115,3091,715,0.265965037,0.340408681,0.420442383,0.760851064
215,74,162,804,5490,1413,956,295,13,149,633,1122,131,47,0,633,0,4077,2955,866,0.257377049,0.334149927,0.39726776,0.731417686
217,89,162,642,5422,1360,993,215,32,120,552,1013,136,67,0,552,0,4062,3049,626,0.250829952,0.320053565,0.368683143,0.688736708
219,94,162,628,5431,1346,1005,217,25,99,437,947,131,46,0,437,0,4085,3138,544,0.247836494,0.303851397,0.351684773,0.65553617
221,79,162,714,5599,1431,1072,208,17,134,613,863,102,62,0,613,0,4168,3305,733,0.255581354,0.329040567,0.370601893,0.69964246
223,85,162,786,5508,1470,1002,287,24,157,655,930,73,54,0,655,0,4038,3108,745,0.266884532,0.344799611,0.413217139,0.758016749
225,89,162,738,5513,1472,1060,235,30,147,581,799,114,45,0,581,0,4041,3242,647,0.26700526,0.336888743,0.40050789,0.737396633
227,74,162,853,5518,1472,913,330,31,198,619,1134,63,37,52,671,38,4046,2912,892,0.26676332,0.344146459,0.44545125,0.789597709
